"Titular";"id";"V1";"evidence_V1";"V2";"evidence_V2";"V3";"evidence_V3";"V4";"evidence_V4"
"Los equipos de rescate siguen buscando víctimas y desaparecidos por la DANA en Valencia y Albacete";1006;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";1;"Patron: siguen + desaparecid\w*"
"Las ONG se movilizan para ayudar a los damnificados por la DANA en Valencia y Castilla-La Mancha";1025;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Una Dana descomunal sorprende a los valencianos y deja ya 92 muertos";1033;1;"Token: descomunal\w*";0;"Absence";0;"Absence";0;"Absence"
"De humedades y filtraciones a lesiones en cimientos: los daños de la Dana en los edificios";1042;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Las víctimas de la Dana: 132 hombres y 89 mujeres, la mayoría de más de 50 años";1053;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"La Dana daña archivos de Hacienda, Industria y Presidencia en sus almacenes de Riba-roja";1063;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Así ayudó la EMT la noche de la dana: \"Estuve hasta las seis de llevando a gente";1064;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Cifran entre 45.000 y 50.000 los voluntarios de la Dana en los primeros días de la crisis";1073;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Picanya, un mes después de la Dana: una pseudo normalidad impregnada de resignación y paciencia";1076;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Agotado el número 29, el día de la DANA, en la administración de lotería de Benetússer";1182;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Carlos Mazón admite errores y pide perdón porque la DANA superó todos los protocolos";1184;0;"Absence";0;"Absence";1;"Token: mazon";0;"Absence"
"Las explicaciones del president, mañana en Les Corts";1186;0;"Absence";0;"Absence";1;"Token: explicac\w*";0;"Absence"
"Rei Ortolá, el cantante que ha puesto banda sonora a la DANA";1187;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Empresarios chinos ayudan a la Policía por la DANA";1190;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Ranking de la gota fría: los municipios valencianos donde más ha llovido";1193;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"AEMET baja a naranja el aviso en el litoral de Valencia: «Lo peor de esta DANA ha pasado»";1200;1;"Patron: dana + peor";0;"Absence";0;"Absence";0;"Absence"
"Quart de Poblet afronta la recuperación tras las inundaciones de la DANA";1205;0;"Absence";1;"Token: inundaciones";0;"Absence";0;"Absence"
"VÍDEO | La impactante imagen de la devastación por la DANA vista desde el aire";1206;1;"Token: devast\w*";0;"Absence";0;"Absence";0;"Absence"
"23 personas continúan desaparecidas desde la catástrofe de la DANA";1213;1;"Token: catastrof\w*";0;"Absence";1;"Token: desaparecid\w*";1;"Token: continu\w*"
"Valencia suspende las clases por la nueva DANA";1226;0;"Absence";1;"Patron: suspend\w* + clase\w*";0;"Absence";1;"Patron: nuev\w* + dana\w*"
"La DANA destroza talleres de artistas falleros a cuatro meses de Fallas";1232;0;"Absence";0;"Absence";0;"Absence";1;"Token: fallas"
"La verdad de lo ocurrido en Bonaire: el parking se evacuó sin saber si quedaban personas dentro";1235;0;"Absence";0;"Absence";1;"Patron: sin + evacu\w*";0;"Absence"
"Dana e inundaciones en Valencia: resumen del 3/11/2024";1247;0;"Absence";1;"Token: inundaciones";0;"Absence";0;"Absence"
"Por qué lo que ocurre en el Polo Norte puede provocar tormentas destructivas en España";1248;1;"Expresion: tormentas destructivas";0;"Absence";0;"Absence";1;"Token: provoc\w*"
"Evitar lo inevitable: ¿Las lluvias de la dana de Valencia se podrían producir en otras zonas?";1256;0;"Absence";0;"Absence";0;"Absence";1;"Patron: podr\w* + otras zonas"
"¿Qué ha pasado en Valencia? Mapas y gráficos de la dana y sus consecuencias";1258;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Las calles de Sedaví (Valencia) que han dado la vuelta al mundo tras el paso de la dana";1261;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Dos respuestas distintas para dos catástrofes anunciadas";1270;1;"Token: catastrof\w*";0;"Absence";1;"Expresion: catastrofe\w* anunciada\w*";0;"Absence"
"Vídeo | Una noche atrapados en Ikea por la dana en Valencia";1282;0;"Absence";1;"Patron: atrapad\w* + valencia";1;"Token: atrapad\w*";0;"Absence"
"Jornada política del 29 de noviembre de 2024 | Cientos de personas se concentran en distintos puntos de Valencia en recuerdo a las victimas de la dana";1340;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
